どこか,1306,1306,-5000,名詞,代名詞,一般,*,*,*,どこか,ドコカ,ドコカ
なんでも,1306,1306,-5000,名詞,代名詞,一般,*,*,*,なんでも,ナンデモ,ナンデモ
誰か,1306,1306,-5000,名詞,代名詞,一般,*,*,*,誰,ダレカ,ダレカ
いつでも,1281,1281,-5000,副詞,一般,*,*,*,*,いつでも,イツデモ,イツデモ
いつまで,1281,1281,-5000,副詞,一般,*,*,*,*,いつまで,イツマデ,イツマデ
ここまで,1281,1281,-5000,副詞,一般,*,*,*,*,ここまで,ココマデ,ココマデ
このように,1281,1281,-5000,副詞,一般,*,*,*,*,このように,コノヨウニ,コノヨーニ
これまで,1281,1281,-5000,副詞,一般,*,*,*,*,これまで,コレマデ,コレマデ
そのように,1281,1281,-5000,副詞,一般,*,*,*,*,そのように,ソノヨウニ,ソノヨーニ
どうか,1281,1281,-5000,副詞,一般,*,*,*,*,どうか,ドウカ,ドーカ
どうしよう,1281,1281,-5000,副詞,一般,*,*,*,*,どうしよう,ドウシヨウ,ドーシヨー
どのように,1281,1281,-5000,副詞,一般,*,*,*,*,どのように,ドノヨウニ,ドノヨーニ
なんでも,1281,1281,-5000,副詞,一般,*,*,*,*,何でも,ナンデモ,ナンデモ
はじめに,1281,1281,-5000,副詞,一般,*,*,*,*,はじめに,ハジメニ,ハジメニ
はるかに,1281,1281,-5000,副詞,一般,*,*,*,*,はるかに,ハルカニ,ハルカニ
もしかしたら,1281,1281,-5000,副詞,一般,*,*,*,*,もしかしたら,モシカシタラ,モシカシタラ
もしかすると,1281,1281,-5000,副詞,一般,*,*,*,*,もしかすると,モシカスルト,モシカスルト
バキッ,1281,1281,-5000,副詞,一般,*,*,*,*,バキッ,バキッ,バキッ
十分,1281,1281,-5000,副詞,一般,*,*,*,*,十分,ジュウブン,ジューブン
堂々と,1281,1281,-5000,副詞,一般,*,*,*,*,堂堂と,ドウドウト,ドードート
嫌々,1281,1281,-5000,副詞,一般,*,*,*,*,嫌々,イヤイヤ,イヤイヤ
滞りなく,1281,1281,-5000,副詞,一般,*,*,*,*,滞りなく,トドコオリナク,トドコーリナク
絶対に,1281,1281,-5000,副詞,一般,*,*,*,*,絶対に,ゼッタイニ,ゼッタイニ
誰しも,1281,1281,-5000,副詞,一般,*,*,*,*,誰しも,ダレシモ,ダレシモ
逆に,1281,1281,-5000,副詞,一般,*,*,*,*,逆に,ギャクニ,ギャクニ
